Date,Hour,Occupation,Energy consumption [kwh],Week_day,Month
2018-01-05,2,0.0,179.8499999998312,Friday,January
2018-01-05,3,0.0,182.8100000001723,Friday,January
2018-01-05,4,0.0,181.8599999998114,Friday,January
2018-01-05,5,0.0,193.0900000000256,Friday,January
2018-01-05,6,0.0,201.68000000016764,Friday,January
2018-01-05,7,0.0,209.72000000000116,Friday,January
2018-01-05,8,0.0,255.07999999981257,Friday,January
2018-01-05,9,0.0,223.83000000019092,Friday,January
2018-01-05,10,0.0,228.48999999981606,Friday,January
2018-01-05,11,0.0,237.4246666670292,Friday,January
2018-01-05,12,0.0,243.38533333296846,Friday,January
2018-01-05,13,0.0,234.0400000003865,Friday,January
2018-01-05,14,0.0,239.75,Friday,January
2018-01-05,15,0.0,231.90999999979977,Friday,January
2018-01-05,16,0.0,216.69000000000233,Friday,January
2018-01-05,17,0.0,213.62999999980093,Friday,January
2018-01-05,18,0.0,213.87000000019907,Friday,January
2018-01-05,19,0.0,204.45999999981723,Friday,January
2018-01-05,20,0.0,186.22999999998137,Friday,January
2018-01-05,21,0.0,183.92000000018743,Friday,January
2018-01-05,22,0.0,179.70000000001164,Friday,January
2018-01-05,23,0.0,180.45999999981723,Friday,January
2018-01-06,0,0.0,179.0899999999965,Saturday,January
2018-01-06,1,0.0,179.4600000003702,Saturday,January
2018-01-06,2,0.0,178.87999999983003,Saturday,January
2018-01-06,3,0.0,176.75000000017462,Saturday,January
2018-01-06,4,0.0,179.55999999999767,Saturday,January
2018-01-06,5,0.0,176.36999999982072,Saturday,January
2018-01-06,6,0.0,180.77000000019325,Saturday,January
2018-01-06,7,0.0,181.8599999998114,Saturday,January
2018-01-06,8,0.0,177.69000000000233,Saturday,January
2018-01-06,9,0.0,170.25000000017462,Saturday,January
2018-01-06,10,0.0,173.0100000000093,Saturday,January
2018-01-06,11,0.0,176.36999999979162,Saturday,January
2018-01-06,12,0.0,174.21000000019558,Saturday,January
2018-01-06,13,0.0,168.51999999998952,Saturday,January
2018-01-06,14,0.0,170.04000000000815,Saturday,January
2018-01-06,15,0.0,172.54000000000815,Saturday,January
2018-01-06,16,0.0,171.32999999981257,Saturday,January
2018-01-06,17,0.0,174.3399999999965,Saturday,January
2018-01-06,18,0.0,179.77000000019325,Saturday,January
2018-01-06,19,0.0,175.39999999981956,Saturday,January
2018-01-06,20,0.0,177.75000000017462,Saturday,January
2018-01-06,21,0.0,183.8599999998114,Saturday,January
2018-01-06,22,0.0,181.61000000001513,Saturday,January
2018-01-06,23,0.0,181.8599999998114,Saturday,January
2018-01-07,0,0.0,187.11999999999534,Sunday,January
2018-01-07,1,0.0,185.49000000036904,Sunday,January
2018-01-07,2,0.0,186.63999999963562,Sunday,January
2018-01-07,3,0.0,184.59999999997672,Sunday,January
2018-01-07,4,0.0,182.3100000002014,Sunday,January
2018-01-07,5,0.0,182.26000000018394,Sunday,January
2018-01-07,6,0.0,181.05999999999767,Sunday,January
2018-01-07,7,0.0,186.54999999998836,Sunday,January
2018-01-07,8,0.0,178.1899999998277,Sunday,January
2018-01-07,9,0.0,171.80999999999767,Sunday,January
2018-01-07,10,0.0,172.69000000017695,Sunday,January
2018-01-07,11,0.0,177.8599999998114,Sunday,January
2018-01-07,12,0.0,179.02000000001863,Sunday,January
2018-01-07,13,0.0,180.01999999998952,Sunday,January
2018-01-07,14,0.0,178.8499999998312,Sunday,January
2018-01-07,15,0.0,176.2200000001758,Sunday,January
2018-01-07,16,0.0,182.2300000001851,Sunday,January
2018-01-07,17,0.0,182.7799999998242,Sunday,January
2018-01-07,18,0.0,186.27000000016415,Sunday,January
2018-01-07,19,0.0,206.3599999998114,Sunday,January
2018-01-07,20,0.0,229.14000000001397,Sunday,January
2018-01-07,21,0.0,229.37000000019907,Sunday,January
2018-01-07,22,0.0,231.98999999978696,Sunday,January
2018-01-07,23,0.0,236.36000000018976,Sunday,January
2018-01-08,0,0.0,236.49999999982538,Monday,January
2018-01-08,1,0.0,234.70000000001164,Monday,January
2018-01-08,2,0.0,236.37000000016997,Monday,January
2018-01-08,3,0.0,234.0199999998149,Monday,January
2018-01-08,4,0.0,240.4100000000035,Monday,January
2018-01-08,5,0.0,276.13999999998487,Monday,January
2018-01-08,6,0.0,333.4200000000128,Monday,January
2018-01-08,7,0.0,346.0799999999872,Monday,January
2018-01-08,8,0.0,404.84000000020023,Monday,January
2018-01-08,9,0.0,484.8299999999872,Monday,January
2018-01-08,10,0.0,485.24999999965075,Monday,January
2018-01-08,11,0.0,506.3299999999872,Monday,January
2018-01-08,12,0.0,489.34000000037486,Monday,January
2018-01-08,13,0.0,492.98999999981606,Monday,January
2018-01-08,14,0.0,468.82999999981257,Monday,January
2018-01-08,15,67.0,459.060000000376,Monday,January
2018-01-08,16,67.0,443.61999999999534,Monday,January
2018-01-08,17,11.0,425.84999999962747,Monday,January
2018-01-08,18,5.5,398.8299999999872,Monday,January
2018-01-08,19,0.0,347.43000000037136,Monday,January
2018-01-08,20,0.0,239.12999999983003,Monday,January
2018-01-08,21,0.0,215.17999999999302,Monday,January
2018-01-08,22,0.0,201.62999999983003,Monday,January
2018-01-08,23,0.0,192.2000000003609,Monday,January
2018-01-09,0,0.0,193.81999999962864,Tuesday,January
2018-01-09,1,0.0,190.3900000001886,Tuesday,January
2018-01-09,2,0.0,191.87000000016997,Tuesday,January
2018-01-09,3,0.0,192.04999999981374,Tuesday,January
2018-01-09,4,0.0,196.6899999998277,Tuesday,January
2018-01-09,5,0.0,219.47000000000116,Tuesday,January
2018-01-09,6,0.0,332.8800000001793,Tuesday,January
2018-01-09,7,0.0,346.53000000020256,Tuesday,January
2018-01-09,8,0.0,442.4599999996135,Tuesday,January
2018-01-09,9,0.0,462.95000000018626,Tuesday,January
2018-01-09,10,0.0,488.95000000018626,Tuesday,January
2018-01-09,11,0.0,485.4400000000023,Tuesday,January
2018-01-09,12,0.0,479.65999999979977,Tuesday,January
2018-01-09,13,0.0,472.53000000002794,Tuesday,January
2018-01-09,14,0.0,459.8599999998114,Tuesday,January
2018-01-09,15,47.0,495.12000000016997,Tuesday,January
2018-01-09,16,47.0,455.4899999999907,Tuesday,January
2018-01-09,17,40.0,426.5400000002119,Tuesday,January
2018-01-09,18,40.0,395.2899999998044,Tuesday,January
2018-01-09,19,0.0,348.5400000001828,Tuesday,January
2018-01-09,20,0.0,236.95999999981723,Tuesday,January
2018-01-09,21,0.0,212.6500000001979,Tuesday,January
2018-01-09,22,0.0,196.5999999998021,Tuesday,January
2018-01-09,23,0.0,184.19000000000233,Tuesday,January
2018-01-10,0,0.0,187.64999999999418,Wednesday,January
2018-01-10,1,0.0,185.07000000000698,Wednesday,January
2018-01-10,2,0.0,186.13000000000466,Wednesday,January
2018-01-10,3,0.0,183.30000000016298,Wednesday,January
2018-01-10,4,0.0,194.51999999964028,Wednesday,January
2018-01-10,5,0.0,215.50000000017462,Wednesday,January
2018-01-10,6,0.0,334.88999999983935,Wednesday,January
